prefix,source,original_width,original_height,output_width,output_height,crop_mode,object_fill,detected_bbox,num_svr_views
real_photo_00,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223931_28_20.jpg,960,1280,512,512,object-crop,0.62,"397,471,699,701",1
real_photo_01,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223932_29_20.jpg,960,1280,512,512,object-crop,0.62,"332,448,614,685",1
real_photo_02,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223932_30_20.jpg,1024,1366,512,512,object-crop,0.62,"382,501,683,780",1
real_photo_03,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223933_31_20.jpg,1280,1707,512,512,object-crop,0.62,"474,592,873,947",1
real_photo_04,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223934_32_20.jpg,1024,1366,512,512,object-crop,0.62,"374,477,631,784",1
real_photo_05,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223935_33_20.jpg,1280,1707,512,512,object-crop,0.62,"478,601,803,995",1
real_photo_06,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223935_34_20.jpg,1280,1707,512,512,object-crop,0.62,"445,579,800,995",1
real_photo_07,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223936_35_20.jpg,1280,1707,512,512,object-crop,0.62,"438,707,788,977",1
real_photo_08,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223937_36_20.jpg,1280,1707,512,512,object-crop,0.62,"468,681,809,979",1
real_photo_09,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223937_37_20.jpg,960,1280,512,512,object-crop,0.62,"186,534,467,777",1
real_photo_10,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223938_38_20.jpg,1280,1707,512,512,object-crop,0.62,"469,622,870,967",1
real_photo_11,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223939_39_20.jpg,1024,1366,512,512,object-crop,0.62,"373,537,635,801",1
real_photo_12,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223939_40_20.jpg,1280,1707,512,512,object-crop,0.62,"464,692,768,966",1
real_photo_13,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223940_41_20.jpg,1280,1707,512,512,object-crop,0.62,"469,634,813,1020",1
real_photo_14,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223941_42_20.jpg,1024,1366,512,512,object-crop,0.62,"381,569,611,816",1
real_photo_15,/mnt/d/python/src/brepnet/data/DataGenerationRefactored/real_photo/微信图片_20260506223941_43_20.jpg,1024,1366,512,512,object-crop,0.62,"373,502,685,834",1
